Generation 462: 22.7223:       1616Generation 462: 0.584412
Generation 463: 22.7223:       1613Generation 463: 0.584412
Generation 464: 22.7223:       1610Generation 464: 0.584412
Generation 465: 22.7223:       1607Generation 465: 0.584412
Generation 466: 22.7223:       1604Generation 466: 0.584412
Generation 467: 22.7223:       1601Generation 467: 0.584412
Generation 468: 22.7223:       1598Generation 468: 0.584412
Generation 469: 22.7223:       1595Generation 469: 0.584412
Generation 470: 22.7223:       1592Generation 470: 0.584412
Generation 471: 22.7223:       1589Generation 471: 0.584412
Generation 472: 22.7223:       1586Generation 472: 0.584412
Generation 473: 22.7223:       1583Generation 473: 0.584412
Generation 474: 22.7223:       1580Generation 474: 0.584412
Generation 475: 22.7223:       1577Generation 475: 0.584412
Generation 476: 22.7223:       1574Generation 476: 0.584412
Generation 477: 22.7223:       1571Generation 477: 0.584412
Generation 478: 22.7223:       1568Generation 478: 0.584412
Generation 479: 22.7223:       1565Generation 479: 0.584412
Generation 480: 22.7223:       1562Generation 480: 0.584412
Generation 481: 22.7223:       1559Generation 481: 0.584412
Generation 482: 22.7223:       1556Generation 482: 0.584412
Generation 483: 22.7223:       1553Generation 483: 0.584412
Generation 484: 22.7223:       1550Generation 484: 0.584412
Generation 485: 22.7223:       1547Generation 485: 0.584412
Generation 486: 22.7223:       1544Generation 486: 0.584412
Generation 487: 22.7223:       1541Generation 487: 0.584412
Generation 488: 22.7223:       1538Generation 488: 0.584412
Generation 489: 22.7223:       1535Generation 489: 0.584412
Generation 490: 22.7223:       1532Generation 490: 0.584412
Generation 491: 22.7223:       1529Generation 491: 0.584412
Generation 492: 22.7223:       1526Generation 492: 0.584412
Generation 493: 22.7223:       1523Generation 493: 0.584412
Generation 494: 22.7223:       1520Generation 494: 0.584412
Generation 495: 22.7223:       1517Generation 495: 0.584412
Generation 496: 22.7223:       1514Generation 496: 0.584412
Generation 497: 22.7223:       1511Generation 497: 0.584412
Generation 498: 22.7223:       1508Generation 498: 0.584412
Generation 499: 22.7223:       1505Generation 499: 0.584412
Generation 500: 22.7223:       1502Generation 500: 0.584412
Generation 501: 22.7223:       1499Generation 501: 0.584412
Generation 502: 22.7223:       1496Generation 502: 0.584412
Generation 503: 22.7223:       1493Generation 503: 0.584412
Generation 504: 22.7223:       1490Generation 504: 0.584412
Generation 505: 22.7223:       1487Generation 505: 0.584412
Generation 506: 22.7223:       1484Generation 506: 0.584412
Generation 507: 22.7223:       1481Generation 507: 0.584412
Generation 508: 22.7223:       1478Generation 508: 0.584412
Generation 509: 22.7223:       1475Generation 509: 0.584412
Generation 510: 22.7223:       1472Generation 510: 0.584412
Generation 511: 22.7223:       1469Generation 511: 0.584412
Generation 512: 22.7223:       1466Generation 512: 0.584412
Generation 513: 22.7223:       1463Generation 513: 0.584412
Generation 514: 22.7223:       1460Generation 514: 0.584412
Generation 515: 22.7223:       1457Generation 515: 0.584412
Generation 516: 22.7223:       1454Generation 516: 0.584412
Generation 517: 22.7223:       1451Generation 517: 0.584412
Generation 518: 22.7223:       1448Generation 518: 0.584412
Generation 519: 22.7223:       1445Generation 519: 0.584412
